1576,Abbotsford,Canada,YXX,CYXX,49.0252990722656,-122.361000061035,175,Abbotsford Airport,,"{'1491': {106: 79}, '1579': {106: 79}}"
1577,Whitehorse,Canada,YXY,CYXY,60.7095985413,-135.067001343,176,Whitehorse / Erik Nielsen International Airport,,{'1564': {66: 101}}
1578,North Bay,Canada,YYB,CYYB,46.3636016845703,-79.4227981567383,177,North Bay Airport,,{'1547': {94: 106}}
1579,Calgary,Canada,YYC,CYYC,51.113899231,-114.019996643,178,Calgary International Airport,,"{'1589': {66: 65, 106: 79}, '1860': {106: 79}, '1791': {82: 64}, '1517': {106: 79}, '1564': {66: 101, 106: 79, 71: 67}, '1819': {106: 79, 75: 64, 103: 64}, '1770': {106: 79}, '1568': {106: 79}, '1576': {106: 79}, '1480': {106: 96}, '1806': {106: 79, 75: 79, 102: 79}, '1516': {106: 96}, '1508': {106: 79}, '1671': {106: 79, 75: 107, 103: 107}, '1849': {106: 79, 75: 79}, '1685': {66: 101}, '1748': {66: 64, 75: 79, 106: 79}, '1483': {106: 96}, '1565': {106: 79}, '1729': {102: 80}, '1535': {106: 79}, '1521': {106: 79}, '1746': {66: 64, 75: 79, 106: 79}, '1541': {106: 96}, '1512': {106: 79}, '1569': {106: 96}, '1539': {106: 79}, '1491': {106: 79}, '1522': {106: 79}, '1670': {102: 80}, '1529': {66: 101, 106: 79}, '1557': {66: 101, 106: 79}, '1573': {81: 95, 106: 78}, '1584': {106: 79}, '1538': {106: 79}, '1830': {106: 79}, '1575': {106: 79}, '1743': {106: 78, 75: 79}}"
1581,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.597000122,180,Fort Nelson Airport,,{'1490': {81: 94}}
1582,Charlottetown,Canada,YYG,CYYG,46.2900009155274,-63.1211013793945,182,Charlottetown Airport,,{'1589': {106: 79}}
1583,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.5766983032,183,Taloyoak Airport,,"{'1507': {96: 72, 79: 95}, '1482': {79: 95}, '1590': {79: 95}}"
1584,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,184,Victoria International Airport,,"{'1589': {66: 65, 106: 79}, '1746': {106: 79}, '1564': {106: 96}, '1491': {106: 78}, '1521': {106: 96}, '1579': {106: 79}}"
1585,Churchill,Canada,YYQ,CYYQ,58.739200592041,-94.0650024414063,187,Churchill Airport,,"{'1565': {78: 70}, '1492': {78: 70}, '1553': {78: 70}, '1546': {78: 70}}"
1586,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.4258003235,188,Goose Bay Airport,,"{'1481': {92: 113}, '1596': {92: 94}, '1566': {92: 94}, '1488': {92: 94}, '1489': {92: 97, 69: 97}, '1465': {92: 97}, '1466': {69: 97}, '1587': {92: 94}, '1477': {92: 94}}"
1587,St. John's,Canada,YYT,CYYT,47.618598938,-52.7518997192,189,St. John's International Airport,,"{'1557': {66: 101}, '1589': {66: 65, 106: 79}, '1512': {66: 101, 106: 79, 95: 96}, '1488': {92: 113}, '1586': {92: 94}, '1770': {106: 79}, '1685': {102: 64}, '1477': {92: 113}, '1529': {106: 79}}"
1588,Kapuskasing,Canada,YYU,CYYU,49.4138984680176,-82.4674987792969,190,Kapuskasing Airport,,{'1554': {94: 106}}
